"Year","Month","Hospital","Age.Categorisation","TotalPatients"
2015,"May","Midland Regional Hospital Portlaoise"," 0-15",607
2015,"May","Midland Regional Hospital Portlaoise","16-64",2451
2015,"May","Midland Regional Hospital Portlaoise","65+",700
2015,"May","Midland Regional Hospital Tullamore"," 0-15",2231
2015,"May","Midland Regional Hospital Tullamore","16-64",8391
2015,"May","Midland Regional Hospital Tullamore","65+",2683
2015,"May","Naas General Hospital"," 0-15",8
2015,"May","Naas General Hospital","16-64",3956
2015,"May","Naas General Hospital","65+",1139
2015,"May","Nenagh Hospital"," 0-15",288
2015,"May","Nenagh Hospital","16-64",1251
2015,"May","Nenagh Hospital","65+",394
2015,"May","Our Lady of Lourdes Hospital Drogheda"," 0-15",3230
2015,"May","Our Lady of Lourdes Hospital Drogheda","16-64",6559
2015,"May","Our Lady of Lourdes Hospital Drogheda","65+",1736
2015,"May","Our Lady's Children's Hospital Crumlin"," 0-15",12288
2015,"May","Our Lady's Children's Hospital Crumlin","16-64",406
2015,"May","Our Lady's Hospital Navan"," 0-15",35
2015,"May","Our Lady's Hospital Navan","16-64",3201
2015,"May","Our Lady's Hospital Navan","65+",965
2015,"May","Portiuncula Hospital"," 0-15",495
2015,"May","Portiuncula Hospital","16-64",2021
2015,"May","Portiuncula Hospital","65+",573
2015,"May","Roscommon Hospital"," 0-15",223
2015,"May","Roscommon Hospital","16-64",1285
2015,"May","Roscommon Hospital","65+",667
2015,"May","Royal Victoria Eye and Ear Hospital"," 0-15",990
2015,"May","Royal Victoria Eye and Ear Hospital","16-64",5341
2015,"May","Royal Victoria Eye and Ear Hospital","65+",3361
2015,"May","Sligo Regional Hospital"," 0-15",1490
2015,"May","Sligo Regional Hospital","16-64",7535
2015,"May","Sligo Regional Hospital","65+",3591
2015,"May","South Infirmary Victoria University Hospital"," 0-15",3368
2015,"May","South Infirmary Victoria University Hospital","16-64",13735
2015,"May","South Infirmary Victoria University Hospital","65+",4241
2015,"May","South Tipperary General Hospital"," 0-15",385
2015,"May","South Tipperary General Hospital","16-64",2158
2015,"May","South Tipperary General Hospital","65+",795
2015,"May","St. Columcille's Hospital"," 0-15",3
2015,"May","St. Columcille's Hospital","16-64",1857
2015,"May","St. Columcille's Hospital","65+",523
2015,"May","St. James's Hospital"," 0-15",90
2015,"May","St. James's Hospital","16-64",9771
2015,"May","St. James's Hospital","65+",2543
2015,"May","St. John's Hospital Limerick"," 0-15",21
2015,"May","St. John's Hospital Limerick","16-64",907
2015,"May","St. John's Hospital Limerick","65+",224
2015,"May","St. Luke's General Hospital Kilkenny"," 0-15",257
2015,"May","St. Luke's General Hospital Kilkenny","16-64",1716
2015,"May","St. Luke's General Hospital Kilkenny","65+",565
2015,"May","St. Michael's Hospital Dun Laoghaire"," 0-15",306
2015,"May","St. Michael's Hospital Dun Laoghaire","16-64",1341
2015,"May","St. Michael's Hospital Dun Laoghaire","65+",457
2015,"May","St. Vincent's University Hospital"," 0-15",52
2015,"May","St. Vincent's University Hospital","16-64",10798
2015,"May","St. Vincent's University Hospital","65+",3593
2015,"May","Tallaght Hospital"," 0-15",6416
2015,"May","Tallaght Hospital","16-64",19903
2015,"May","Tallaght Hospital","65+",4243
2015,"May","University Hospital Limerick"," 0-15",2294
2015,"May","University Hospital Limerick","16-64",10562
2015,"May","University Hospital Limerick","65+",4029
2015,"May","University Hospital Waterford"," 0-15",2838
2015,"May","University Hospital Waterford","16-64",17067
2015,"May","University Hospital Waterford","65+",6648
2015,"May","Wexford General Hospital"," 0-15",510
2015,"May","Wexford General Hospital","16-64",1923
2015,"May","Wexford General Hospital","65+",559
2015,"Jun","Bantry General Hospital"," 0-15",44
2015,"Jun","Bantry General Hospital","16-64",811
2015,"Jun","Bantry General Hospital","65+",556
2015,"Jun","Beaumont Hospital","NA",11
2015,"Jun","Beaumont Hospital"," 0-15",507
2015,"Jun","Beaumont Hospital","16-64",18497
2015,"Jun","Beaumont Hospital","65+",5577
2015,"Jun","Cappagh National Orthopaedic Hospital"," 0-15",17
2015,"Jun","Cappagh National Orthopaedic Hospital","16-64",1030
2015,"Jun","Cappagh National Orthopaedic Hospital","65+",433
2015,"Jun","Cavan General Hospital"," 0-15",826
2015,"Jun","Cavan General Hospital","16-64",4962
2015,"Jun","Cavan General Hospital","65+",1625
2015,"Jun","Childrens University Hospital Temple Street"," 0-15",12269
2015,"Jun","Childrens University Hospital Temple Street","16-64",286
2015,"Jun","Childrens University Hospital Temple Street","65+",1
2015,"Jun","Connolly Hospital","NA",2
2015,"Jun","Connolly Hospital"," 0-15",11
2015,"Jun","Connolly Hospital","16-64",8443
2015,"Jun","Connolly Hospital","65+",1769
2015,"Jun","Cork University Hospital"," 0-15",3251
2015,"Jun","Cork University Hospital","16-64",16156
2015,"Jun","Cork University Hospital","65+",5257
2015,"Jun","Croom Orthopaedic Hospital"," 0-15",206
2015,"Jun","Croom Orthopaedic Hospital","16-64",2788
2015,"Jun","Croom Orthopaedic Hospital","65+",1073
2015,"Jun","Ennis Hospital"," 0-15",463
2015,"Jun","Ennis Hospital","16-64",1241
2015,"Jun","Ennis Hospital","65+",431
2015,"Jun","Galway University Hospital"," 0-15",4540
2015,"Jun","Galway University Hospital","16-64",25001
2015,"Jun","Galway University Hospital","65+",7690
2015,"Jun","Kerry General Hospital"," 0-15",749
2015,"Jun","Kerry General Hospital","16-64",5179
2015,"Jun","Kerry General Hospital","65+",1703
2015,"Jun","Letterkenny General Hospital"," 0-15",1900
2015,"Jun","Letterkenny General Hospital","16-64",9259
2015,"Jun","Letterkenny General Hospital","65+",3082
2015,"Jun","Louth County Hospital"," 0-15",114
2015,"Jun","Louth County Hospital","16-64",1531
2015,"Jun","Louth County Hospital","65+",649
2015,"Jun","Mallow General Hospital"," 0-15",248
2015,"Jun","Mallow General Hospital","16-64",1683
2015,"Jun","Mallow General Hospital","65+",563
2015,"Jun","Mater Misericordiae University Hospital"," 0-15",40
2015,"Jun","Mater Misericordiae University Hospital","16-64",16115
2015,"Jun","Mater Misericordiae University Hospital","65+",6204
2015,"Jun","Mayo General Hospital"," 0-15",1065
2015,"Jun","Mayo General Hospital","16-64",3448
2015,"Jun","Mayo General Hospital","65+",1435
2015,"Jun","Mercy University Hospital"," 0-15",520
2015,"Jun","Mercy University Hospital","16-64",4272
2015,"Jun","Mercy University Hospital","65+",1267
2015,"Jun","Midland Regional Hospital Mullingar"," 0-15",956
2015,"Jun","Midland Regional Hospital Mullingar","16-64",3863
2015,"Jun","Midland Regional Hospital Mullingar","65+",895
2015,"Jun","Midland Regional Hospital Portlaoise"," 0-15",677
2015,"Jun","Midland Regional Hospital Portlaoise","16-64",2573
2015,"Jun","Midland Regional Hospital Portlaoise","65+",746
2015,"Jun","Midland Regional Hospital Tullamore"," 0-15",2491
2015,"Jun","Midland Regional Hospital Tullamore","16-64",7904
2015,"Jun","Midland Regional Hospital Tullamore","65+",2524
2015,"Jun","Naas General Hospital"," 0-15",8
2015,"Jun","Naas General Hospital","16-64",4295
2015,"Jun","Naas General Hospital","65+",1158
2015,"Jun","Nenagh Hospital"," 0-15",289
2015,"Jun","Nenagh Hospital","16-64",1288
2015,"Jun","Nenagh Hospital","65+",402
2015,"Jun","Our Lady of Lourdes Hospital Drogheda"," 0-15",3197
2015,"Jun","Our Lady of Lourdes Hospital Drogheda","16-64",6765
2015,"Jun","Our Lady of Lourdes Hospital Drogheda","65+",1737
2015,"Jun","Our Lady's Children's Hospital Crumlin"," 0-15",12120
2015,"Jun","Our Lady's Children's Hospital Crumlin","16-64",377
2015,"Jun","Our Lady's Hospital Navan"," 0-15",29
2015,"Jun","Our Lady's Hospital Navan","16-64",3220
2015,"Jun","Our Lady's Hospital Navan","65+",959
2015,"Jun","Portiuncula Hospital"," 0-15",454
2015,"Jun","Portiuncula Hospital","16-64",2022
2015,"Jun","Portiuncula Hospital","65+",531
2015,"Jun","Roscommon Hospital"," 0-15",238
2015,"Jun","Roscommon Hospital","16-64",1342
2015,"Jun","Roscommon Hospital","65+",726
2015,"Jun","Royal Victoria Eye and Ear Hospital"," 0-15",997
2015,"Jun","Royal Victoria Eye and Ear Hospital","16-64",5221
2015,"Jun","Royal Victoria Eye and Ear Hospital","65+",3204
2015,"Jun","Sligo Regional Hospital"," 0-15",1473
2015,"Jun","Sligo Regional Hospital","16-64",7217
2015,"Jun","Sligo Regional Hospital","65+",3467
2015,"Jun","South Infirmary Victoria University Hospital"," 0-15",3278
2015,"Jun","South Infirmary Victoria University Hospital","16-64",12122
2015,"Jun","South Infirmary Victoria University Hospital","65+",3668
2015,"Jun","South Tipperary General Hospital"," 0-15",426
2015,"Jun","South Tipperary General Hospital","16-64",2276
2015,"Jun","South Tipperary General Hospital","65+",816
2015,"Jun","St. Columcille's Hospital"," 0-15",8
2015,"Jun","St. Columcille's Hospital","16-64",1931
2015,"Jun","St. Columcille's Hospital","65+",517
2015,"Jun","St. James's Hospital"," 0-15",90
2015,"Jun","St. James's Hospital","16-64",10030
2015,"Jun","St. James's Hospital","65+",2684
2015,"Jun","St. John's Hospital Limerick"," 0-15",32
2015,"Jun","St. John's Hospital Limerick","16-64",900
2015,"Jun","St. John's Hospital Limerick","65+",241
2015,"Jun","St. Luke's General Hospital Kilkenny"," 0-15",242
2015,"Jun","St. Luke's General Hospital Kilkenny","16-64",1757
2015,"Jun","St. Luke's General Hospital Kilkenny","65+",587
2015,"Jun","St. Michael's Hospital Dun Laoghaire"," 0-15",311
2015,"Jun","St. Michael's Hospital Dun Laoghaire","16-64",1364
2015,"Jun","St. Michael's Hospital Dun Laoghaire","65+",520
2015,"Jun","St. Vincent's University Hospital"," 0-15",48
2015,"Jun","St. Vincent's University Hospital","16-64",11009
2015,"Jun","St. Vincent's University Hospital","65+",3692
2015,"Jun","Tallaght Hospital"," 0-15",6417
2015,"Jun","Tallaght Hospital","16-64",20081
2015,"Jun","Tallaght Hospital","65+",4371
2015,"Jun","University Hospital Limerick"," 0-15",2324
2015,"Jun","University Hospital Limerick","16-64",10933
2015,"Jun","University Hospital Limerick","65+",4035
2015,"Jun","University Hospital Waterford"," 0-15",2330
2015,"Jun","University Hospital Waterford","16-64",12668
2015,"Jun","University Hospital Waterford","65+",5226
2015,"Jun","Wexford General Hospital"," 0-15",536
2015,"Jun","Wexford General Hospital","16-64",1932
2015,"Jun","Wexford General Hospital","65+",589
2015,"Jul","Bantry General Hospital"," 0-15",47
2015,"Jul","Bantry General Hospital","16-64",788
2015,"Jul","Bantry General Hospital","65+",550
2015,"Jul","Beaumont Hospital","NA",9
2015,"Jul","Beaumont Hospital"," 0-15",545
2015,"Jul","Beaumont Hospital","16-64",18831
2015,"Jul","Beaumont Hospital","65+",5712
2015,"Jul","Cappagh National Orthopaedic Hospital"," 0-15",25
2015,"Jul","Cappagh National Orthopaedic Hospital","16-64",1177
2015,"Jul","Cappagh National Orthopaedic Hospital","65+",490
2015,"Jul","Cavan General Hospital"," 0-15",879
2015,"Jul","Cavan General Hospital","16-64",5171
2015,"Jul","Cavan General Hospital","65+",1739
2015,"Jul","Childrens University Hospital Temple Street"," 0-15",12080
2015,"Jul","Childrens University Hospital Temple Street","16-64",281
2015,"Jul","Childrens University Hospital Temple Street","65+",1
2015,"Jul","Connolly Hospital","NA",3
2015,"Jul","Connolly Hospital"," 0-15",8
2015,"Jul","Connolly Hospital","16-64",7893
2015,"Jul","Connolly Hospital","65+",1760
2015,"Jul","Cork University Hospital"," 0-15",3262
2015,"Jul","Cork University Hospital","16-64",16568
2015,"Jul","Cork University Hospital","65+",5520
2015,"Jul","Croom Orthopaedic Hospital"," 0-15",196
2015,"Jul","Croom Orthopaedic Hospital","16-64",2897
2015,"Jul","Croom Orthopaedic Hospital","65+",1105
2015,"Jul","Ennis Hospital"," 0-15",456
2015,"Jul","Ennis Hospital","16-64",1298
2015,"Jul","Ennis Hospital","65+",450
2015,"Jul","Galway University Hospital"," 0-15",4439
2015,"Jul","Galway University Hospital","16-64",24430
2015,"Jul","Galway University Hospital","65+",7606
2015,"Jul","Kerry General Hospital"," 0-15",729
2015,"Jul","Kerry General Hospital","16-64",5243
2015,"Jul","Kerry General Hospital","65+",1717
2015,"Jul","Letterkenny General Hospital"," 0-15",1902
2015,"Jul","Letterkenny General Hospital","16-64",9557
2015,"Jul","Letterkenny General Hospital","65+",3195
2015,"Jul","Louth County Hospital"," 0-15",106
2015,"Jul","Louth County Hospital","16-64",1567
2015,"Jul","Louth County Hospital","65+",677
2015,"Jul","Mallow General Hospital"," 0-15",249
2015,"Jul","Mallow General Hospital","16-64",1752
2015,"Jul","Mallow General Hospital","65+",578
2015,"Jul","Mater Misericordiae University Hospital"," 0-15",40
2015,"Jul","Mater Misericordiae University Hospital","16-64",16681
2015,"Jul","Mater Misericordiae University Hospital","65+",6304
2015,"Jul","Mayo General Hospital"," 0-15",1078
2015,"Jul","Mayo General Hospital","16-64",3366
2015,"Jul","Mayo General Hospital","65+",1414
2015,"Jul","Mercy University Hospital"," 0-15",540
2015,"Jul","Mercy University Hospital","16-64",4102
2015,"Jul","Mercy University Hospital","65+",1248
2015,"Jul","Midland Regional Hospital Mullingar"," 0-15",1003
2015,"Jul","Midland Regional Hospital Mullingar","16-64",3915
2015,"Jul","Midland Regional Hospital Mullingar","65+",956
2015,"Jul","Midland Regional Hospital Portlaoise"," 0-15",612
2015,"Jul","Midland Regional Hospital Portlaoise","16-64",2492
2015,"Jul","Midland Regional Hospital Portlaoise","65+",753
2015,"Jul","Midland Regional Hospital Tullamore"," 0-15",2444
2015,"Jul","Midland Regional Hospital Tullamore","16-64",7926
2015,"Jul","Midland Regional Hospital Tullamore","65+",2578
2015,"Jul","Naas General Hospital"," 0-15",7
2015,"Jul","Naas General Hospital","16-64",4239
2015,"Jul","Naas General Hospital","65+",1164
2015,"Jul","Nenagh Hospital"," 0-15",282
2015,"Jul","Nenagh Hospital","16-64",1250
2015,"Jul","Nenagh Hospital","65+",408
2015,"Jul","Our Lady of Lourdes Hospital Drogheda"," 0-15",3307
2015,"Jul","Our Lady of Lourdes Hospital Drogheda","16-64",6778
2015,"Jul","Our Lady of Lourdes Hospital Drogheda","65+",1770
2015,"Jul","Our Lady's Children's Hospital Crumlin"," 0-15",12343
2015,"Jul","Our Lady's Children's Hospital Crumlin","16-64",359
2015,"Jul","Our Lady's Hospital Navan"," 0-15",28
2015,"Jul","Our Lady's Hospital Navan","16-64",3310
2015,"Jul","Our Lady's Hospital Navan","65+",1016
2015,"Jul","Portiuncula Hospital"," 0-15",435
2015,"Jul","Portiuncula Hospital","16-64",2027
2015,"Jul","Portiuncula Hospital","65+",535
2015,"Jul","Roscommon Hospital"," 0-15",230
2015,"Jul","Roscommon Hospital","16-64",1239
2015,"Jul","Roscommon Hospital","65+",695
2015,"Jul","Royal Victoria Eye and Ear Hospital"," 0-15",1060
2015,"Jul","Royal Victoria Eye and Ear Hospital","16-64",4504
2015,"Jul","Royal Victoria Eye and Ear Hospital","65+",2931
2015,"Jul","Sligo Regional Hospital"," 0-15",1441
2015,"Jul","Sligo Regional Hospital","16-64",7262
2015,"Jul","Sligo Regional Hospital","65+",3433
2015,"Jul","South Infirmary Victoria University Hospital"," 0-15",3255
2015,"Jul","South Infirmary Victoria University Hospital","16-64",12419
2015,"Jul","South Infirmary Victoria University Hospital","65+",3780
2015,"Jul","South Tipperary General Hospital"," 0-15",461
2015,"Jul","South Tipperary General Hospital","16-64",2411
2015,"Jul","South Tipperary General Hospital","65+",849
2015,"Jul","St. Columcille's Hospital"," 0-15",9
2015,"Jul","St. Columcille's Hospital","16-64",1850
2015,"Jul","St. Columcille's Hospital","65+",516
2015,"Jul","St. James's Hospital"," 0-15",121
2015,"Jul","St. James's Hospital","16-64",10480
2015,"Jul","St. James's Hospital","65+",2832
2015,"Jul","St. John's Hospital Limerick"," 0-15",33
2015,"Jul","St. John's Hospital Limerick","16-64",959
2015,"Jul","St. John's Hospital Limerick","65+",271
2015,"Jul","St. Luke's General Hospital Kilkenny"," 0-15",219
2015,"Jul","St. Luke's General Hospital Kilkenny","16-64",1767
2015,"Jul","St. Luke's General Hospital Kilkenny","65+",531
2015,"Jul","St. Michael's Hospital Dun Laoghaire"," 0-15",325
2015,"Jul","St. Michael's Hospital Dun Laoghaire","16-64",1394
2015,"Jul","St. Michael's Hospital Dun Laoghaire","65+",530
2015,"Jul","St. Vincent's University Hospital"," 0-15",55
2015,"Jul","St. Vincent's University Hospital","16-64",11222
2015,"Jul","St. Vincent's University Hospital","65+",3759
2015,"Jul","Tallaght Children's Hospital"," 0-15",5738
2015,"Jul","Tallaght Children's Hospital","16-64",124
2015,"Jul","Tallaght Hospital"," 0-15",169
2015,"Jul","Tallaght Hospital","16-64",17079
2015,"Jul","Tallaght Hospital","65+",3891
2015,"Jul","University Hospital Limerick"," 0-15",2344
2015,"Jul","University Hospital Limerick","16-64",11082
2015,"Jul","University Hospital Limerick","65+",4061
2015,"Jul","University Hospital Waterford"," 0-15",2317
2015,"Jul","University Hospital Waterford","16-64",12879
2015,"Jul","University Hospital Waterford","65+",5412
2015,"Jul","Wexford General Hospital"," 0-15",518
2015,"Jul","Wexford General Hospital","16-64",1846
2015,"Jul","Wexford General Hospital","65+",559
2015,"Aug","Bantry General Hospital"," 0-15",46
2015,"Aug","Bantry General Hospital","16-64",851
2015,"Aug","Bantry General Hospital","65+",581
2015,"Aug","Beaumont Hospital"," 0-15",537
2015,"Aug","Beaumont Hospital","16-64",19097
2015,"Aug","Beaumont Hospital","65+",5859
2015,"Aug","Cappagh National Orthopaedic Hospital"," 0-15",25
2015,"Aug","Cappagh National Orthopaedic Hospital","16-64",1181
2015,"Aug","Cappagh National Orthopaedic Hospital","65+",511
2015,"Aug","Cavan General Hospital"," 0-15",882
2015,"Aug","Cavan General Hospital","16-64",5097
2015,"Aug","Cavan General Hospital","65+",1643
2015,"Aug","Childrens University Hospital Temple Street"," 0-15",11344
2015,"Aug","Childrens University Hospital Temple Street","16-64",244
2015,"Aug","Childrens University Hospital Temple Street","65+",1
2015,"Aug","Connolly Hospital","NA",3
2015,"Aug","Connolly Hospital"," 0-15",9
2015,"Aug","Connolly Hospital","16-64",8190
2015,"Aug","Connolly Hospital","65+",1853
2015,"Aug","Cork University Hospital"," 0-15",3265
2015,"Aug","Cork University Hospital","16-64",15660
2015,"Aug","Cork University Hospital","65+",5582
2015,"Aug","Croom Orthopaedic Hospital"," 0-15",193
2015,"Aug","Croom Orthopaedic Hospital","16-64",2906
2015,"Aug","Croom Orthopaedic Hospital","65+",1144
2015,"Aug","Ennis Hospital"," 0-15",451
2015,"Aug","Ennis Hospital","16-64",1351
2015,"Aug","Ennis Hospital","65+",486
2015,"Aug","Galway University Hospital"," 0-15",4491
2015,"Aug","Galway University Hospital","16-64",24671
2015,"Aug","Galway University Hospital","65+",7655
2015,"Aug","Kerry General Hospital"," 0-15",757
2015,"Aug","Kerry General Hospital","16-64",5362
2015,"Aug","Kerry General Hospital","65+",1744
2015,"Aug","Letterkenny General Hospital"," 0-15",1911
2015,"Aug","Letterkenny General Hospital","16-64",9711
2015,"Aug","Letterkenny General Hospital","65+",3258
2015,"Aug","Louth County Hospital"," 0-15",108
2015,"Aug","Louth County Hospital","16-64",1611
2015,"Aug","Louth County Hospital","65+",709
2015,"Aug","Mallow General Hospital"," 0-15",241
2015,"Aug","Mallow General Hospital","16-64",1791
2015,"Aug","Mallow General Hospital","65+",607
2015,"Aug","Mater Misericordiae University Hospital"," 0-15",36
2015,"Aug","Mater Misericordiae University Hospital","16-64",16896
2015,"Aug","Mater Misericordiae University Hospital","65+",6445
2015,"Aug","Mayo General Hospital"," 0-15",988
2015,"Aug","Mayo General Hospital","16-64",3085
2015,"Aug","Mayo General Hospital","65+",1363
2015,"Aug","Mercy University Hospital"," 0-15",581
2015,"Aug","Mercy University Hospital","16-64",4274
2015,"Aug","Mercy University Hospital","65+",1301
2015,"Aug","Midland Regional Hospital Mullingar"," 0-15",1046
2015,"Aug","Midland Regional Hospital Mullingar","16-64",4039
2015,"Aug","Midland Regional Hospital Mullingar","65+",1010
2015,"Aug","Midland Regional Hospital Portlaoise"," 0-15",629
2015,"Aug","Midland Regional Hospital Portlaoise","16-64",2553
2015,"Aug","Midland Regional Hospital Portlaoise","65+",786
2015,"Aug","Midland Regional Hospital Tullamore"," 0-15",2380
2015,"Aug","Midland Regional Hospital Tullamore","16-64",8027
2015,"Aug","Midland Regional Hospital Tullamore","65+",2642
2015,"Aug","Naas General Hospital"," 0-15",6
2015,"Aug","Naas General Hospital","16-64",4351
2015,"Aug","Naas General Hospital","65+",1192
2015,"Aug","Nenagh Hospital"," 0-15",277
2015,"Aug","Nenagh Hospital","16-64",1236
2015,"Aug","Nenagh Hospital","65+",414
2015,"Aug","Our Lady of Lourdes Hospital Drogheda"," 0-15",3354
2015,"Aug","Our Lady of Lourdes Hospital Drogheda","16-64",6557
2015,"Aug","Our Lady of Lourdes Hospital Drogheda","65+",1764
2015,"Aug","Our Lady's Children's Hospital Crumlin"," 0-15",12284
2015,"Aug","Our Lady's Children's Hospital Crumlin","16-64",343
2015,"Aug","Our Lady's Hospital Navan"," 0-15",28
2015,"Aug","Our Lady's Hospital Navan","16-64",3349
2015,"Aug","Our Lady's Hospital Navan","65+",1064
2015,"Aug","Portiuncula Hospital"," 0-15",431
2015,"Aug","Portiuncula Hospital","16-64",2011
2015,"Aug","Portiuncula Hospital","65+",574
2015,"Aug","Roscommon Hospital"," 0-15",248
2015,"Aug","Roscommon Hospital","16-64",1248
2015,"Aug","Roscommon Hospital","65+",702
2015,"Aug","Rotunda Hospital"," 0-15",6
2015,"Aug","Rotunda Hospital","16-64",1949
2015,"Aug","Rotunda Hospital","65+",115
2015,"Aug","Royal Victoria Eye and Ear Hospital"," 0-15",971
2015,"Aug","Royal Victoria Eye and Ear Hospital","16-64",3919
2015,"Aug","Royal Victoria Eye and Ear Hospital","65+",2729
2015,"Aug","Sligo Regional Hospital"," 0-15",1464
2015,"Aug","Sligo Regional Hospital","16-64",7232
2015,"Aug","Sligo Regional Hospital","65+",3515
2015,"Aug","South Infirmary Victoria University Hospital"," 0-15",3160
2015,"Aug","South Infirmary Victoria University Hospital","16-64",12836
2015,"Aug","South Infirmary Victoria University Hospital","65+",3829
2015,"Aug","South Tipperary General Hospital"," 0-15",461
2015,"Aug","South Tipperary General Hospital","16-64",2328
2015,"Aug","South Tipperary General Hospital","65+",810
2015,"Aug","St. Columcille's Hospital"," 0-15",4
2015,"Aug","St. Columcille's Hospital","16-64",1910
2015,"Aug","St. Columcille's Hospital","65+",549
2015,"Aug","St. James's Hospital"," 0-15",104
2015,"Aug","St. James's Hospital","16-64",10525
2015,"Aug","St. James's Hospital","65+",2961
2015,"Aug","St. John's Hospital Limerick"," 0-15",30
2015,"Aug","St. John's Hospital Limerick","16-64",927
2015,"Aug","St. John's Hospital Limerick","65+",255
2015,"Aug","St. Luke's General Hospital Kilkenny"," 0-15",238
2015,"Aug","St. Luke's General Hospital Kilkenny","16-64",1985
2015,"Aug","St. Luke's General Hospital Kilkenny","65+",548
2015,"Aug","St. Michael's Hospital Dun Laoghaire"," 0-15",310
2015,"Aug","St. Michael's Hospital Dun Laoghaire","16-64",1385
2015,"Aug","St. Michael's Hospital Dun Laoghaire","65+",513
2015,"Aug","St. Vincent's University Hospital"," 0-15",51
2015,"Aug","St. Vincent's University Hospital","16-64",11436
2015,"Aug","St. Vincent's University Hospital","65+",3864
2015,"Aug","Tallaght Children's Hospital"," 0-15",5748
2015,"Aug","Tallaght Children's Hospital","16-64",128
2015,"Aug","Tallaght Hospital"," 0-15",160
2015,"Aug","Tallaght Hospital","16-64",17321
2015,"Aug","Tallaght Hospital","65+",4029
2015,"Aug","University Hospital Limerick"," 0-15",2344
2015,"Aug","University Hospital Limerick","16-64",11082
2015,"Aug","University Hospital Limerick","65+",4061
2015,"Aug","University Hospital Waterford"," 0-15",2264
2015,"Aug","University Hospital Waterford","16-64",12797
2015,"Aug","University Hospital Waterford","65+",5367
2015,"Aug","Wexford General Hospital"," 0-15",517
2015,"Aug","Wexford General Hospital","16-64",1893
2015,"Aug","Wexford General Hospital","65+",557
2015,"Sep","Bantry General Hospital"," 0-15",43
2015,"Sep","Bantry General Hospital","16-64",844
2015,"Sep","Bantry General Hospital","65+",570
2015,"Sep","Beaumont Hospital","NA",1
2015,"Sep","Beaumont Hospital"," 0-15",534
2015,"Sep","Beaumont Hospital","16-64",19159
2015,"Sep","Beaumont Hospital","65+",5894
2015,"Sep","Cappagh National Orthopaedic Hospital"," 0-15",30
2015,"Sep","Cappagh National Orthopaedic Hospital","16-64",1195
2015,"Sep","Cappagh National Orthopaedic Hospital","65+",533
2015,"Sep","Cavan General Hospital"," 0-15",851
2015,"Sep","Cavan General Hospital","16-64",4960
2015,"Sep","Cavan General Hospital","65+",1609
2015,"Sep","Childrens University Hospital Temple Street"," 0-15",10982
2015,"Sep","Childrens University Hospital Temple Street","16-64",206
2015,"Sep","Childrens University Hospital Temple Street","65+",1
2015,"Sep","Connolly Hospital","NA",3
2015,"Sep","Connolly Hospital"," 0-15",9
2015,"Sep","Connolly Hospital","16-64",8520
2015,"Sep","Connolly Hospital","65+",1941
2015,"Sep","Cork University Hospital"," 0-15",3115
2015,"Sep","Cork University Hospital","16-64",15188
2015,"Sep","Cork University Hospital","65+",5475
2015,"Sep","Croom Orthopaedic Hospital"," 0-15",189
2015,"Sep","Croom Orthopaedic Hospital","16-64",2843
2015,"Sep","Croom Orthopaedic Hospital","65+",1112
2015,"Sep","Ennis Hospital"," 0-15",423
2015,"Sep","Ennis Hospital","16-64",1276
2015,"Sep","Ennis Hospital","65+",453
2015,"Sep","Galway University Hospital"," 0-15",4382
2015,"Sep","Galway University Hospital","16-64",23766
2015,"Sep","Galway University Hospital","65+",7274
2015,"Sep","Kerry General Hospital"," 0-15",731
2015,"Sep","Kerry General Hospital","16-64",5348
2015,"Sep","Kerry General Hospital","65+",1729
2015,"Sep","Letterkenny General Hospital"," 0-15",1859
2015,"Sep","Letterkenny General Hospital","16-64",9676
2015,"Sep","Letterkenny General Hospital","65+",3342
2015,"Sep","Louth County Hospital"," 0-15",112
2015,"Sep","Louth County Hospital","16-64",1681
2015,"Sep","Louth County Hospital","65+",684
2015,"Sep","Mallow General Hospital"," 0-15",243
2015,"Sep","Mallow General Hospital","16-64",1800
2015,"Sep","Mallow General Hospital","65+",639
2015,"Sep","Mater Misericordiae University Hospital"," 0-15",38
2015,"Sep","Mater Misericordiae University Hospital","16-64",17234
2015,"Sep","Mater Misericordiae University Hospital","65+",6548
2015,"Sep","Mayo General Hospital"," 0-15",1080
2015,"Sep","Mayo General Hospital","16-64",3202
2015,"Sep","Mayo General Hospital","65+",1377
2015,"Sep","Mercy University Hospital"," 0-15",563
2015,"Sep","Mercy University Hospital","16-64",4209
2015,"Sep","Mercy University Hospital","65+",1342
2015,"Sep","Midland Regional Hospital Mullingar"," 0-15",1098
2015,"Sep","Midland Regional Hospital Mullingar","16-64",4304
2015,"Sep","Midland Regional Hospital Mullingar","65+",1084
2015,"Sep","Midland Regional Hospital Portlaoise"," 0-15",553
2015,"Sep","Midland Regional Hospital Portlaoise","16-64",2386
2015,"Sep","Midland Regional Hospital Portlaoise","65+",751
2015,"Sep","Midland Regional Hospital Tullamore"," 0-15",2376
2015,"Sep","Midland Regional Hospital Tullamore","16-64",8068
2015,"Sep","Midland Regional Hospital Tullamore","65+",2701
2015,"Sep","Naas General Hospital"," 0-15",5
2015,"Sep","Naas General Hospital","16-64",4261
2015,"Sep","Naas General Hospital","65+",1159
2015,"Sep","Nenagh Hospital"," 0-15",280
2015,"Sep","Nenagh Hospital","16-64",1157
2015,"Sep","Nenagh Hospital","65+",382
